Report Date,Market,BenchName,Currency,TimeZone,Resolution
03/11/2014,Oil_Brent,Oil_Brent,USD,Central Europe Standard Time,Hour
,,BRN
,Winter Short,90
,Winter Medium,17
,Winter Long,10
,Winter Time,0.5
,Summer Short,90
,Summer Medium,17
,Summer Long,10
,Summer Time,0.5
Date,Hour
04/08/2015,9,57.9999999998454
04/08/2015,10,57.9999999998454
04/08/2015,11,57.9999999998454
04/08/2015,12,57.9999999998454
04/08/2015,13,57.9999999998454
04/08/2015,14,57.9999999998454
04/08/2015,15,57.9999999998454
04/08/2015,16,57.9999999998454
04/08/2015,17,57.9999999998454
04/08/2015,18,57.9999999998454
04/08/2015,19,57.9999999998454
04/08/2015,20,57.9999999998454
04/08/2015,21,57.9999999998454
04/08/2015,22,57.9999999998454
04/08/2015,23,57.9999999998454
04/08/2015,24,57.9999999998454
05/08/2015,1,57.9999999998454
05/08/2015,2,57.9999999998454
05/08/2015,3,57.9999999998454
05/08/2015,4,57.9999999998454
05/08/2015,5,57.9999999998454
05/08/2015,6,57.9999999998454
05/08/2015,7,57.9999999998454
05/08/2015,8,57.9999999998454
05/08/2015,9,57.9999999998454
05/08/2015,10,57.9999999998454
05/08/2015,11,57.9999999998454
05/08/2015,12,57.9999999998454
05/08/2015,13,57.9999999998454
05/08/2015,14,57.9999999998454
05/08/2015,15,57.9999999998454
05/08/2015,16,57.9999999998454
05/08/2015,17,57.9999999998454
05/08/2015,18,57.9999999998454
05/08/2015,19,57.9999999998454
05/08/2015,20,57.9999999998454
05/08/2015,21,57.9999999998454
05/08/2015,22,57.9999999998454
05/08/2015,23,57.9999999998454
05/08/2015,24,57.9999999998454
06/08/2015,1,57.9999999998454
06/08/2015,2,57.9999999998454
06/08/2015,3,57.9999999998454
06/08/2015,4,57.9999999998454
06/08/2015,5,57.9999999998454
06/08/2015,6,57.9999999998454
06/08/2015,7,57.9999999998454
06/08/2015,8,57.9999999998454
06/08/2015,9,57.9999999998454
06/08/2015,10,57.9999999998454
06/08/2015,11,57.9999999998454
06/08/2015,12,57.9999999998454
06/08/2015,13,57.9999999998454
06/08/2015,14,57.9999999998454
06/08/2015,15,57.9999999998454
06/08/2015,16,57.9999999998454
06/08/2015,17,57.9999999998454
06/08/2015,18,57.9999999998454
06/08/2015,19,57.9999999998454
06/08/2015,20,57.9999999998454
06/08/2015,21,57.9999999998454
06/08/2015,22,57.9999999998454
06/08/2015,23,57.9999999998454
06/08/2015,24,57.9999999998454
07/08/2015,1,57.9999999998454
07/08/2015,2,57.9999999998454
07/08/2015,3,57.9999999998454
07/08/2015,4,57.9999999998454
07/08/2015,5,57.9999999998454
07/08/2015,6,57.9999999998454
07/08/2015,7,57.9999999998454
07/08/2015,8,57.9999999998454
07/08/2015,9,57.9999999998454
07/08/2015,10,57.9999999998454
07/08/2015,11,57.9999999998454
07/08/2015,12,57.9999999998454
07/08/2015,13,57.9999999998454
07/08/2015,14,57.9999999998454
07/08/2015,15,57.9999999998454
07/08/2015,16,57.9999999998454
07/08/2015,17,57.9999999998454
07/08/2015,18,57.9999999998454
07/08/2015,19,57.9999999998454
07/08/2015,20,57.9999999998454
07/08/2015,21,57.9999999998454
07/08/2015,22,57.9999999998454
07/08/2015,23,57.9999999998454
07/08/2015,24,57.9999999998454
08/08/2015,1,57.9999999998454
08/08/2015,2,57.9999999998454
08/08/2015,3,57.9999999998454
08/08/2015,4,57.9999999998454
08/08/2015,5,57.9999999998454
08/08/2015,6,57.9999999998454
08/08/2015,7,57.9999999998454
08/08/2015,8,57.9999999998454
08/08/2015,9,57.9999999998454
08/08/2015,10,57.9999999998454
08/08/2015,11,57.9999999998454
08/08/2015,12,57.9999999998454
08/08/2015,13,57.9999999998454
08/08/2015,14,57.9999999998454
08/08/2015,15,57.9999999998454
08/08/2015,16,57.9999999998454
08/08/2015,17,57.9999999998454
08/08/2015,18,57.9999999998454
08/08/2015,19,57.9999999998454
08/08/2015,20,57.9999999998454
08/08/2015,21,57.9999999998454
08/08/2015,22,57.9999999998454
08/08/2015,23,57.9999999998454
08/08/2015,24,57.9999999998454
09/08/2015,1,57.9999999998454
09/08/2015,2,57.9999999998454
09/08/2015,3,57.9999999998454
