Report Date,Market,BenchName,Currency,TimeZone,Resolution
03/11/2014,APIGas,APIGas,EUR,Central Europe Standard Time,Hour
,,TTF
,Winter Short,90
,Winter Medium,17
,Winter Long,10
,Winter Time,0.5
,Summer Short,90
,Summer Medium,17
,Summer Long,10
,Summer Time,0.5
Date,Hour
22/11/2014,2,19.9989241578833
22/11/2014,3,19.9976132689662
22/11/2014,4,19.9963024252193
22/11/2014,5,19.9949916268483
22/11/2014,6,19.9936808740404
22/11/2014,7,19.9923701670014
22/11/2014,8,19.9910595059291
22/11/2014,9,19.9897488910187
22/11/2014,10,19.9884383224735
22/11/2014,11,19.9871278004912
22/11/2014,12,19.9858173252724
22/11/2014,13,19.9845068970189
22/11/2014,14,19.9831965159301
22/11/2014,15,19.9818861822077
22/11/2014,16,19.9805758960579
22/11/2014,17,19.9792656576756
22/11/2014,18,19.9779554672696
22/11/2014,19,19.9766453250418
22/11/2014,20,19.9753352311955
22/11/2014,21,19.9740251859325
22/11/2014,22,19.9727151894617
22/11/2014,23,19.9714052419863
22/11/2014,24,19.9700953437095
23/11/2014,1,19.9687854948415
23/11/2014,2,19.9674756955842
23/11/2014,3,19.9661659461462
23/11/2014,4,19.9648562467364
23/11/2014,5,19.9635465975607
23/11/2014,6,19.9622369988265
23/11/2014,7,19.9609274507425
23/11/2014,8,19.9596179535174
23/11/2014,9,19.9583085073627
23/11/2014,10,19.9569991124845
23/11/2014,11,19.9556897690982
23/11/2014,12,19.9543804774084
23/11/2014,13,19.9530712376295
23/11/2014,14,19.9517620499728
23/11/2014,15,19.9504529146498
23/11/2014,16,19.9491438318705
23/11/2014,17,19.947834801852
23/11/2014,18,19.9465258248042
23/11/2014,19,19.9452169009442
23/11/2014,20,19.9439080304792
23/11/2014,21,19.942599213633
23/11/2014,22,19.9412904506116
23/11/2014,23,19.9399817416361
23/11/2014,24,19.9386730869192
24/11/2014,1,19.9373644866805
24/11/2014,2,19.936055941133
24/11/2014,3,19.9347474504948
24/11/2014,4,19.9334390149829
24/11/2014,5,19.9321306348184
24/11/2014,6,19.9308223102153
24/11/2014,7,19.9295140413947
24/11/2014,8,19.9282058285762
24/11/2014,9,19.9268976719768
24/11/2014,10,19.9255895718202
24/11/2014,11,19.9242815283233
24/11/2014,12,19.9229735417098
24/11/2014,13,19.921665612198
24/11/2014,14,19.9203577400158
24/11/2014,15,19.9190499253759
24/11/2014,16,19.917742168509
24/11/2014,17,19.9164344696346
24/11/2014,18,19.9151268289779
24/11/2014,19,19.9138192467599
24/11/2014,20,19.9125117232097
24/11/2014,21,19.9112042585471
24/11/2014,22,19.9098968529997
24/11/2014,23,19.9085895067929
24/11/2014,24,19.9072822201515
25/11/2014,1,19.9059749933062
25/11/2014,2,19.9046678264781
25/11/2014,3,19.9033607198976
25/11/2014,4,19.9020536737939
25/11/2014,5,19.9007466883936
25/11/2014,6,19.8994397639231
25/11/2014,7,19.8981329006156
25/11/2014,8,19.8968260986976
25/11/2014,9,19.8955193584011
25/11/2014,10,19.8942126799525
25/11/2014,11,19.8929060635892
25/11/2014,12,19.8915995095363
25/11/2014,13,19.8902930180298
25/11/2014,14,19.8889865892961
25/11/2014,15,19.8876802235782
25/11/2014,16,19.8863739210956
25/11/2014,17,19.8850676820912
