Report Date,Market,BenchName,Currency,TimeZone,Resolution
13/10/2016,EEX,EEX,EUR,Central Europe Standard Time,Hour
,,DE/ATBase,DE/ATPeak
,Winter Short,90,90
,Winter Medium,17,17
,Winter Long,10,10
,Winter Time,0.5,0.5
,Summer Short,90,90
,Summer Medium,17,17
,Summer Long,10,10
,Summer Time,0.5,0.5
Date,Hour
05/11/2016,20,35.5498436158541,
05/11/2016,21,35.5580102863714,
05/11/2016,22,35.5661666078795,
05/11/2016,23,35.5743125442641,
05/11/2016,24,35.5824480593401,
06/11/2016,1,35.5905731168568,
06/11/2016,2,35.5986876805091,
06/11/2016,3,35.6067917139098,
06/11/2016,4,35.6148851806392,
06/11/2016,5,35.6229680441902,
06/11/2016,6,35.6310402679901,
06/11/2016,7,35.6391018154336,
06/11/2016,8,35.6471526498062,
06/11/2016,9,35.655192734388,
06/11/2016,10,35.663222032339,
06/11/2016,11,35.6712405067919,
06/11/2016,12,35.6792481208031,
06/11/2016,13,35.6872448373797,
06/11/2016,14,35.6952306194362,
06/11/2016,15,35.7032054298652,
06/11/2016,16,35.7111692314611,
06/11/2016,17,35.7191219869746,
06/11/2016,18,35.7270636590802,
06/11/2016,19,35.7349942104083,
06/11/2016,20,35.7429136035134,
06/11/2016,21,35.7508218008734,
06/11/2016,22,35.7587187649442,
06/11/2016,23,35.7666044580728,
06/11/2016,24,35.7744788425625,
07/11/2016,1,35.7823418806838,
07/11/2016,2,35.7901935345762,
07/11/2016,3,35.7980337663903,
07/11/2016,4,35.8058625381509,
07/11/2016,5,35.8136798118612,
07/11/2016,6,35.8214855494534,
07/11/2016,7,35.8292797127833,
07/11/2016,8,35.8370622636521,
07/11/2016,9,35.844833163801,47.0775295718049
07/11/2016,10,35.8525923749003,47.072775207329
07/11/2016,11,35.8603398585765,47.0680240060392
07/11/2016,12,35.8680755763635,47.063275978282
07/11/2016,13,35.8757994897514,47.0585311344475
07/11/2016,14,35.8835115601651,47.0537894849695
07/11/2016,15,35.891211748969,47.0490510402378
07/11/2016,16,35.8989000174624,47.0443158107082
07/11/2016,17,35.9065763268627,47.0395838068252
07/11/2016,18,35.9142406383708,47.0348550390772
07/11/2016,19,35.9218929130675,47.0301295179415
07/11/2016,20,35.929533112012,47.0254072539392
07/11/2016,21,35.9371611961869,
07/11/2016,22,35.944777126515,
07/11/2016,23,35.9523808638478,
07/11/2016,24,35.9599723689771,
08/11/2016,1,35.9675516026455,
08/11/2016,2,35.9751185255136,
08/11/2016,3,35.9826730981877,
08/11/2016,4,35.9902152812083,
08/11/2016,5,35.9977450350616,
08/11/2016,6,36.0052623201573,
08/11/2016,7,36.0127670968614,
08/11/2016,8,36.0202593254362,
08/11/2016,9,36.0277389661442,46.9643190314819
08/11/2016,10,36.0352059791276,46.9596434799132
08/11/2016,11,36.0426603245014,46.9549713451052
08/11/2016,12,36.0501019622989,46.9503026378407
08/11/2016,13,36.0575308524931,46.9456373689245
08/11/2016,14,36.0649469550081,46.9409755491397
08/11/2016,15,36.0723502296751,46.9363171893347
08/11/2016,16,36.0797406362981,46.9316623003688
08/11/2016,17,36.0871181346047,46.9270108930796
08/11/2016,18,36.0944826842351,46.9223629783701
08/11/2016,19,36.1018342448078,46.9177185670997
08/11/2016,20,36.1091727758594,46.9130776702368
08/11/2016,21,36.1164982368446,
08/11/2016,22,36.1238105871853,
08/11/2016,23,36.1311097862272,
08/11/2016,24,36.1383957932612,
09/11/2016,1,36.1456685674912,
09/11/2016,2,36.1529280680988,
09/11/2016,3,36.1601742541461,
09/11/2016,4,36.1674070847002,
