Report Date,Market,BenchName,Currency,TimeZone,Resolution
12/08/2013,NPS_SpotSubDaily,NPS_SpotSubDaily,EUR,Central Europe Standard Time,Hour
,,NPSBase,NPSPeak
,Winter Short,90,90
,Winter Medium,17,17
,Winter Long,10,10
,Winter Time,0.5,0.5
,Summer Short,90,90
,Summer Medium,17,17
,Summer Long,10,10
,Summer Time,0.5,0.5
Date,Hour
26/08/2013,18,35.1235775078394,35.1235775078394
26/08/2013,19,35.0969723191265,35.0969723191265
26/08/2013,20,35.0708067306105,35.0708067306105
26/08/2013,21,35.0450832258966,0
26/08/2013,22,35.0198042955917,0
26/08/2013,23,34.99497243729,0
26/08/2013,24,34.9705901555844,0
27/08/2013,1,34.9466599620773,0
27/08/2013,2,34.923184375345,0
27/08/2013,3,34.9001659209762,0
27/08/2013,4,34.8776071315497,0
27/08/2013,5,34.8555105466376,0
27/08/2013,6,34.8338787128214,0
27/08/2013,7,34.8127141836567,0
27/08/2013,8,34.7920195197166,0
27/08/2013,9,34.7717972885539,34.7717972885539
27/08/2013,10,34.7520500647333,34.7520500647333
27/08/2013,11,34.7327804297965,34.7327804297965
27/08/2013,12,34.7139909723028,34.7139909723028
27/08/2013,13,34.6956842877853,34.6956842877853
27/08/2013,14,34.677862978795,34.677862978795
27/08/2013,15,34.6605296548569,34.6605296548569
27/08/2013,16,34.6436869325162,34.6436869325162
27/08/2013,17,34.6273374352895,34.6273374352895
27/08/2013,18,34.6114837937112,34.6114837937112
27/08/2013,19,34.5961286452948,34.5961286452948
27/08/2013,20,34.5812746345609,34.5812746345609
27/08/2013,21,34.5669244130231,0
27/08/2013,22,34.553080639188,0
27/08/2013,23,34.5397459785581,0
27/08/2013,24,34.5269231036427,0
28/08/2013,1,34.5146146939305,0
28/08/2013,2,34.5028234359197,0
28/08/2013,3,34.4915520230988,0
28/08/2013,4,34.4808031559496,0
28/08/2013,5,34.4705795419604,0
28/08/2013,6,34.4608838956046,0
28/08/2013,7,34.4517189383541,0
28/08/2013,8,34.4430873986821,0
28/08/2013,9,34.4349920120494,34.4349920120494
28/08/2013,10,34.4274355209291,34.4274355209291
28/08/2013,11,34.4204206747654,34.4204206747654
28/08/2013,12,34.4139502300177,34.4139502300177
28/08/2013,13,34.408026950141,34.408026950141
28/08/2013,14,34.4026536055753,34.4026536055753
28/08/2013,15,34.3978329737647,34.3978329737647
28/08/2013,16,34.393567839149,34.393567839149
28/08/2013,17,34.3898609931584,34.3898609931584
28/08/2013,18,34.3867152342273,34.3867152342273
28/08/2013,19,34.3841333677829,34.3841333677829
28/08/2013,20,34.3821182062429,34.3821182062429
28/08/2013,21,34.380672569032,0
28/08/2013,22,34.3797992825621,0
28/08/2013,23,34.3795011802413,0
28/08/2013,24,34.3797811024815,0
29/08/2013,1,34.3806418966824,0
29/08/2013,2,34.3820864172476,0
29/08/2013,3,34.3841175255629,0
29/08/2013,4,34.3867380900319,0
29/08/2013,5,34.3899509860294,0
29/08/2013,6,34.3937590959504,0
29/08/2013,7,34.3981653091641,0
29/08/2013,8,34.403172522052,0
29/08/2013,9,34.4087836379858,34.4087836379858
29/08/2013,10,34.4150015673331,34.4150015673331
29/08/2013,11,34.4218292274545,34.4218292274545
29/08/2013,12,34.4292695427093,34.4292695427093
29/08/2013,13,34.4373254444608,34.4373254444608
29/08/2013,14,34.4459998710545,34.4459998710545
29/08/2013,15,34.455295767837,34.455295767837
29/08/2013,16,34.4652160871592,34.4652160871592
29/08/2013,17,34.4757637883595,34.4757637883595
29/08/2013,18,34.4869418377639,34.4869418377639
29/08/2013,19,34.4987532087216,34.4987532087216
29/08/2013,20,34.5112008815504,34.5112008815504
29/08/2013,21,34.5242878435747,0
29/08/2013,22,34.5380170891176,0
29/08/2013,23,34.5523916195007,0
29/08/2013,24,34.567414443025,0
30/08/2013,1,34.5830885750092,0
30/08/2013,2,34.5994170377571,0
30/08/2013,3,34.6164028605654,0
30/08/2013,4,34.634049079732,0
30/08/2013,5,34.6523587385536,0
30/08/2013,6,34.6713348873172,0
30/08/2013,7,34.6909805833084,0
30/08/2013,8,34.7112988908057,0
30/08/2013,9,34.7322928810918,34.7322928810918
30/08/2013,10,34.7539656324398,34.7539656324398
30/08/2013,11,34.7763202301103,34.7763202301103
30/08/2013,12,34.799359766379,34.799359766379
30/08/2013,13,34.8230873405064,34.8230873405064
30/08/2013,14,34.8475060587461,34.8475060587461
30/08/2013,15,34.8726190343559,34.8726190343559
30/08/2013,16,34.898429387581,34.898429387581
30/08/2013,17,34.9249402456762,34.9249402456762
30/08/2013,18,34.9521547428731,34.9521547428731
30/08/2013,19,34.9800760204153,34.9800760204153
30/08/2013,20,35.0087072265369,35.0087072265369
30/08/2013,21,35.0380515164679,0
30/08/2013,22,35.0681120524341,0
30/08/2013,23,35.0988920036625,0
30/08/2013,24,35.1303945463651,0
31/08/2013,1,35.1626228637579,0
31/08/2013,2,35.1955801460526,0
31/08/2013,3,35.2292695904598,0
31/08/2013,4,35.2636944011747,0
31/08/2013,5,35.2988577894075,0
31/08/2013,6,35.3347629733398,0
31/08/2013,7,35.3714131781708,0
31/08/2013,8,35.4088116360872,0
31/08/2013,9,35.446961586269,0
31/08/2013,10,35.4858662749029,0
31/08/2013,11,35.5255289551524,0
31/08/2013,12,35.5659528872038,0
31/08/2013,13,35.6071413382069,0
31/08/2013,14,35.6490975823426,0
31/08/2013,15,35.6918249007604,0
31/08/2013,16,35.7353265816191,0
31/08/2013,17,35.7796059200709,0
31/08/2013,18,35.824666218261,0
31/08/2013,19,35.8705107853384,0
31/08/2013,20,35.9171429374401,0
31/08/2013,21,35.9645659976986,0
