Report Date,Market,BenchName,Currency,TimeZone,Resolution
12/10/2016,EEX,EEX,EUR,Central Europe Standard Time,Hour
,,DE/ATBase,DE/ATPeak
,Winter Short,90,90
,Winter Medium,17,17
,Winter Long,10,10
,Winter Time,0.5,0.5
,Summer Short,90,90
,Summer Medium,17,17
,Summer Long,10,10
,Summer Time,0.5,0.5
Date,Hour
22/10/2016,23,36.94190345,
22/10/2016,24,36.90551201,
23/10/2016,1,36.86922594,
23/10/2016,2,36.83304606,
23/10/2016,3,36.79697317,
23/10/2016,4,36.76100807,
23/10/2016,5,36.72515158,
23/10/2016,6,36.68940451,
23/10/2016,7,36.65376767,
23/10/2016,8,36.61824189,
23/10/2016,9,36.58282798,
23/10/2016,10,36.54752678,
23/10/2016,11,36.51233911,
23/10/2016,12,36.47726581,
23/10/2016,13,36.4423077,
23/10/2016,14,36.40746563,
23/10/2016,15,36.37274043,
23/10/2016,16,36.33813296,
23/10/2016,17,36.30364406,
23/10/2016,18,36.26927457,
23/10/2016,19,36.23502536,
23/10/2016,20,36.20089727,
23/10/2016,21,36.16689116,
23/10/2016,22,36.13300791,
23/10/2016,23,36.09924837,
23/10/2016,24,36.06561341,
24/10/2016,1,36.0321039,
24/10/2016,2,35.99872072,
24/10/2016,3,35.96546474,
24/10/2016,4,35.93233685,
24/10/2016,5,35.89933793,
24/10/2016,6,35.86646886,
24/10/2016,7,35.83373053,
24/10/2016,8,35.80112384,
24/10/2016,9,35.76864968,47.47054393
24/10/2016,10,35.73630895,47.45709736
24/10/2016,11,35.70410255,47.44368427
24/10/2016,12,35.67203139,47.43030487
24/10/2016,13,35.64009637,47.4169594
24/10/2016,14,35.60829841,47.40364807
24/10/2016,15,35.57663841,47.39037112
24/10/2016,16,35.5451173,47.37712877
24/10/2016,17,35.51373599,47.36392126
24/10/2016,18,35.48249541,47.35074882
24/10/2016,19,35.45139649,47.33761167
24/10/2016,20,35.42044014,47.32451004
24/10/2016,21,35.38962731,
24/10/2016,22,35.35895893,
24/10/2016,23,35.32843593,
24/10/2016,24,35.29805927,
25/10/2016,1,35.26782987,
25/10/2016,2,35.23774869,
25/10/2016,3,35.20781669,
25/10/2016,4,35.1780348,
25/10/2016,5,35.14840399,
25/10/2016,6,35.11892522,
25/10/2016,7,35.08959945,
25/10/2016,8,35.06042765,
25/10/2016,9,35.03141078,47.15752851
25/10/2016,10,35.00254981,47.14494898
25/10/2016,11,34.97384573,47.13240854
25/10/2016,12,34.9452995,47.11990744
25/10/2016,13,34.9169121,47.1074459
25/10/2016,14,34.88868453,47.09502419
25/10/2016,15,34.86061777,47.08264255
25/10/2016,16,34.8327128,47.07030122
25/10/2016,17,34.80497062,47.05800046
25/10/2016,18,34.77739223,47.0457405
25/10/2016,19,34.74997862,47.0335216
25/10/2016,20,34.72273079,47.02134401
25/10/2016,21,34.69564976,
25/10/2016,22,34.66873652,
25/10/2016,23,34.64199209,
25/10/2016,24,34.61541749,
26/10/2016,1,34.58901372,
26/10/2016,2,34.56278182,
26/10/2016,3,34.5367228,
26/10/2016,4,34.51083768,
26/10/2016,5,34.4851275,
26/10/2016,6,34.4595933,
26/10/2016,7,34.43423609,
26/10/2016,8,34.40905693,
26/10/2016,9,34.38405686,46.86690929
26/10/2016,10,34.35923691,46.85533664
26/10/2016,11,34.33459814,46.84380913
26/10/2016,12,34.31014159,46.83232703
26/10/2016,13,34.28586832,46.82089059
26/10/2016,14,34.26177939,46.80950009
26/10/2016,15,34.23787586,46.79815578
26/10/2016,16,34.21415878,46.78685792
26/10/2016,17,34.19062922,46.7756068
26/10/2016,18,34.16728826,46.76440266
26/10/2016,19,34.14413695,46.75324578
26/10/2016,20,34.12117639,46.74213642
26/10/2016,21,34.09840764,
26/10/2016,22,34.07583178,
26/10/2016,23,34.05344991,
26/10/2016,24,34.0312631,
27/10/2016,1,34.00927245,
27/10/2016,2,33.98747904,
27/10/2016,3,33.96588398,
27/10/2016,4,33.94448837,
27/10/2016,5,33.92329329,
27/10/2016,6,33.90229987,
27/10/2016,7,33.88150921,
27/10/2016,8,33.86092241,
27/10/2016,9,33.8405406,46.60216277
27/10/2016,10,33.82036489,46.5917473
27/10/2016,11,33.8003964,46.58138347
27/10/2016,12,33.78063625,46.57107154
27/10/2016,13,33.76108557,46.56081181
27/10/2016,14,33.74174549,46.55060455
27/10/2016,15,33.72261715,46.54045005
27/10/2016,16,33.70370166,46.53034859
27/10/2016,17,33.68500019,46.52030045
27/10/2016,18,33.66651386,46.51030591
27/10/2016,19,33.64824381,46.50036527
27/10/2016,20,33.63019121,46.49047881
27/10/2016,21,33.6123572,
27/10/2016,22,33.59474292,
27/10/2016,23,33.57734955,
27/10/2016,24,33.56017823,
28/10/2016,1,33.54323013,
28/10/2016,2,33.52650642,
28/10/2016,3,33.51000827,
28/10/2016,4,33.49373684,
28/10/2016,5,33.47769331,
28/10/2016,6,33.46187886,
28/10/2016,7,33.44629467,
28/10/2016,8,33.43094193,
28/10/2016,9,33.41582181,46.36701642
28/10/2016,10,33.40093552,46.35791889
28/10/2016,11,33.38628424,46.34887992
28/10/2016,12,33.37186917,46.3398998
28/10/2016,13,33.3576915,46.33097883
28/10/2016,14,33.34375245,46.32211732
28/10/2016,15,33.33005321,46.31331556
28/10/2016,16,33.316595,46.30457386
28/10/2016,17,33.30337902,46.29589251
28/10/2016,18,33.29040649,46.28727183
28/10/2016,19,33.27767863,46.2787121
28/10/2016,20,33.26519665,46.27021364
28/10/2016,21,33.25296179,
28/10/2016,22,33.24097526,
28/10/2016,23,33.22923829,
28/10/2016,24,33.21775213,
29/10/2016,1,33.206518,
29/10/2016,2,33.19553713,
29/10/2016,3,33.18481079,
29/10/2016,4,33.1743402,
29/10/2016,5,33.16412662,
29/10/2016,6,33.15417129,
29/10/2016,7,33.14447547,
29/10/2016,8,33.13504042,
29/10/2016,9,33.1258674,
29/10/2016,10,33.11695767,
29/10/2016,11,33.10831249,
29/10/2016,12,33.09993313,
29/10/2016,13,33.09182087,
29/10/2016,14,33.08397699,
29/10/2016,15,33.07640275,
29/10/2016,16,33.06909944,
29/10/2016,17,33.06206834,
29/10/2016,18,33.05531074,
29/10/2016,19,33.04882794,
29/10/2016,20,33.04262122,
29/10/2016,21,33.03669188,
29/10/2016,22,33.03104122,
29/10/2016,23,33.02567054,
29/10/2016,24,33.02058114,
30/10/2016,1,33.01577435,
30/10/2016,2,33.01125146,
30/10/2016,3,33.00701379,
30/10/2016,3,33.00306265,
30/10/2016,4,32.99939938,
30/10/2016,5,32.99602529,
30/10/2016,6,32.99294171,
30/10/2016,7,32.99014996,
30/10/2016,8,32.98765139,
30/10/2016,9,32.98544732,
30/10/2016,10,32.9835391,
30/10/2016,11,32.98192807,
30/10/2016,12,32.98061556,
30/10/2016,13,32.97960294,
30/10/2016,14,32.97889155,
30/10/2016,15,32.97848274,
30/10/2016,16,32.97837787,
30/10/2016,17,32.9785783,
30/10/2016,18,32.9790854,
30/10/2016,19,32.97990052,
30/10/2016,20,32.98102505,
30/10/2016,21,32.98246034,
30/10/2016,22,32.98420778,
30/10/2016,23,32.98626875,
30/10/2016,24,32.98864462,
31/10/2016,1,32.99133678,
31/10/2016,2,32.99434662,
31/10/2016,3,32.99767552,
31/10/2016,4,33.00132488,
31/10/2016,5,33.0052961,
31/10/2016,6,33.00959058,
31/10/2016,7,33.01420971,
31/10/2016,8,33.01915491,
31/10/2016,9,33.02442758,45.87614238
31/10/2016,10,33.03002913,45.8721497
31/10/2016,11,33.03596099,45.86823932
31/10/2016,12,33.04222455,45.86441159
31/10/2016,13,33.04882126,45.86066687
31/10/2016,14,33.05575252,45.85700552
31/10/2016,15,33.06301978,45.85342787
31/10/2016,16,33.07062444,45.8499343
31/10/2016,17,33.07856796,45.84652516
31/10/2016,18,33.08685176,45.8432008
31/10/2016,19,33.09547729,45.8399616
31/10/2016,20,33.10444598,45.83680789
31/10/2016,21,33.11375929,
31/10/2016,22,33.12341865,
31/10/2016,23,33.13342552,
31/10/2016,24,33.14378135,
01/11/2016,1,33.15442778,
01/11/2016,2,33.16512642,
01/11/2016,3,33.17581755,
01/11/2016,4,33.18650113,
01/11/2016,5,33.19717712,
01/11/2016,6,33.20784551,
01/11/2016,7,33.21850625,
01/11/2016,8,33.22915932,
01/11/2016,9,33.23980468,45.80059352
01/11/2016,10,33.25044231,45.79788272
01/11/2016,11,33.26107216,45.79517306
01/11/2016,12,33.27169422,45.79246453
01/11/2016,13,33.28230844,45.78975715
01/11/2016,14,33.29291479,45.78705092
01/11/2016,15,33.30351325,45.78434584
01/11/2016,16,33.31410379,45.78164191
01/11/2016,17,33.32468636,45.77893915
01/11/2016,18,33.33526093,45.77623755
01/11/2016,19,33.34582749,45.77353713
01/11/2016,20,33.35638598,45.77083788
01/11/2016,21,33.36693639,
01/11/2016,22,33.37747868,
01/11/2016,23,33.38801281,
01/11/2016,24,33.39853875,
02/11/2016,1,33.40905648,
02/11/2016,2,33.41956595,
02/11/2016,3,33.43006714,
02/11/2016,4,33.44056002,
02/11/2016,5,33.45104454,
02/11/2016,6,33.46152068,
02/11/2016,7,33.4719884,
02/11/2016,8,33.48244768,
02/11/2016,9,33.49289847,45.73585677
02/11/2016,10,33.50334075,45.73317448
02/11/2016,11,33.51377448,45.73049344
02/11/2016,12,33.52419963,45.72781365
02/11/2016,13,33.53461616,45.72513511
02/11/2016,14,33.54502405,45.72245784
02/11/2016,15,33.55542325,45.71978184
02/11/2016,16,33.56581374,45.7171071
02/11/2016,17,33.57619548,45.71443365
02/11/2016,18,33.58656844,45.71176147
02/11/2016,19,33.59693258,45.70909058
02/11/2016,20,33.60728787,45.70642098
02/11/2016,21,33.61763428,
02/11/2016,22,33.62797177,
02/11/2016,23,33.63830031,
02/11/2016,24,33.64861986,
03/11/2016,1,33.65893039,
03/11/2016,2,33.66923187,
03/11/2016,3,33.67952427,
03/11/2016,4,33.68980753,
03/11/2016,5,33.70008165,
03/11/2016,6,33.71034657,
03/11/2016,7,33.72060226,
03/11/2016,8,33.7308487,
03/11/2016,9,33.74108584,45.671836
03/11/2016,10,33.75131365,45.66918501
03/11/2016,11,33.7615321,45.66653538
03/11/2016,12,33.77174114,45.66388712
03/11/2016,13,33.78194076,45.66124024
03/11/2016,14,33.7921309,45.65859475
03/11/2016,15,33.80231154,45.65595063
03/11/2016,16,33.81248264,45.65330792
03/11/2016,17,33.82264417,45.65066659
03/11/2016,18,33.83279609,45.64802667
03/11/2016,19,33.84293836,45.64538816
03/11/2016,20,33.85307095,45.64275106
03/11/2016,21,33.86319383,
03/11/2016,22,33.87330696,
03/11/2016,23,33.8834103,
03/11/2016,24,33.89350382,
04/11/2016,1,33.90358748,
04/11/2016,2,33.91366125,
04/11/2016,3,33.92372509,
04/11/2016,4,33.93377897,
04/11/2016,5,33.94382284,
04/11/2016,6,33.95385668,
04/11/2016,7,33.96388044,
04/11/2016,8,33.9738941,
04/11/2016,9,33.98389761,45.60859967
04/11/2016,10,33.99389094,45.60598289
04/11/2016,11,34.00387405,45.60336761
04/11/2016,12,34.0138469,45.60075382
04/11/2016,13,34.02380947,45.59814153
04/11/2016,14,34.03376171,45.59553075
